threshold,flagged_projects,flagged_rate,precision,recall,f1,false_positive_rate,true_positives,false_positives,true_negatives,false_negatives
0.6,583,0.2332,0.6072041166380789,0.3522388059701492,0.44584382871536526,0.1531772575250836,354,229,1266,651
0.61,523,0.2092,0.621414913957935,0.32338308457711445,0.42539267015706805,0.13244147157190636,325,198,1297,680
0.62,475,0.19,0.6336842105263157,0.29950248756218906,0.40675675675675677,0.11638795986622073,301,174,1321,704
0.63,433,0.1732,0.6327944572748267,0.272636815920398,0.3810848400556328,0.10635451505016723,274,159,1336,731
0.64,386,0.1544,0.6424870466321243,0.24676616915422886,0.35657800143781454,0.09230769230769231,248,138,1357,757
0.65,343,0.1372,0.6443148688046647,0.21990049751243781,0.327893175074184,0.08160535117056857,221,122,1373,784
0.66,308,0.1232,0.6396103896103896,0.19601990049751244,0.3000761614623001,0.07424749163879599,197,111,1384,808
0.67,268,0.1072,0.6343283582089553,0.1691542288557214,0.2670856245090338,0.06555183946488294,170,98,1397,835
0.68,239,0.0956,0.6276150627615062,0.14925373134328357,0.24115755627009647,0.05953177257525084,150,89,1406,855
0.69,206,0.0824,0.6456310679611651,0.13233830845771144,0.21965317919075145,0.04882943143812709,133,73,1422,872
0.7,181,0.0724,0.6850828729281768,0.12338308457711443,0.209106239460371,0.03812709030100334,124,57,1438,881
0.71,155,0.062,0.7032258064516129,0.10845771144278607,0.1879310344827586,0.03076923076923077,109,46,1449,896
0.72,121,0.0484,0.7520661157024794,0.09054726368159204,0.16163410301953818,0.020066889632107024,91,30,1465,914
0.73,106,0.0424,0.7641509433962265,0.08059701492537313,0.14581458145814583,0.016722408026755852,81,25,1470,924
0.74,89,0.0356,0.7415730337078652,0.06567164179104477,0.1206581352833638,0.015384615384615385,66,23,1472,939
0.75,75,0.03,0.7066666666666667,0.0527363184079602,0.09814814814814815,0.01471571906354515,53,22,1473,952
0.76,63,0.0252,0.7142857142857143,0.04477611940298507,0.08426966292134831,0.012040133779264214,45,18,1477,960
0.77,56,0.0224,0.6785714285714286,0.03781094527363184,0.07163053722902922,0.012040133779264214,38,18,1477,967
0.78,50,0.02,0.66,0.03283582089552239,0.06255924170616113,0.01137123745819398,33,17,1478,972
0.79,38,0.0152,0.6842105263157895,0.025870646766169153,0.04985618408437201,0.008026755852842809,26,12,1483,979
0.8,31,0.0124,0.6774193548387096,0.020895522388059702,0.04054054054054054,0.006688963210702341,21,10,1485,984
