threshold,flagged_rate,precision,recall,f1
0.2,0.9956,0.40297308155885897,0.9980099502487563,0.5741270749856897
0.25,0.976,0.4081967213114754,0.991044776119403,0.5782293178519594
0.3,0.9244,0.4167027260926006,0.9582089552238806,0.5808202653799759
0.35,0.848,0.4330188679245283,0.9134328358208955,0.58752
0.4,0.7236,0.4621337755666114,0.8318407960199005,0.5941719971570718
0.45,0.6064,0.48482849604221634,0.7313432835820896,0.5831019436731456
0.5,0.4756,0.5138772077375946,0.6079601990049751,0.5569735642661805
0.55,0.3476,0.5592635212888377,0.4835820895522388,0.5186766275346851
0.6,0.2332,0.6072041166380789,0.3522388059701492,0.44584382871536526
0.65,0.1372,0.6443148688046647,0.21990049751243781,0.327893175074184
0.7,0.0724,0.6850828729281768,0.12338308457711443,0.209106239460371
0.75,0.03,0.7066666666666667,0.0527363184079602,0.09814814814814815
0.8,0.0124,0.6774193548387096,0.020895522388059702,0.04054054054054054
