threshold,precision,recall,f1,f2,flagged_cases
0.1,0.14285714285714285,1.0,0.25,0.45454545454545453,49
0.15000000000000002,0.1891891891891892,1.0,0.3181818181818182,0.5384615384615384,37
0.20000000000000004,0.25925925925925924,1.0,0.4117647058823529,0.6363636363636364,27
0.25000000000000006,0.3333333333333333,1.0,0.5,0.7142857142857143,21
0.30000000000000004,0.3684210526315789,1.0,0.5384615384615384,0.7446808510638298,19
0.3500000000000001,0.4375,1.0,0.6086956521739131,0.7954545454545454,16
0.40000000000000013,0.5454545454545454,0.8571428571428571,0.6666666666666666,0.7692307692307693,11
0.45000000000000007,0.8,0.5714285714285714,0.6666666666666666,0.6060606060606061,5
0.5000000000000001,1.0,0.42857142857142855,0.6,0.4838709677419355,3
0.5500000000000002,1.0,0.2857142857142857,0.4444444444444444,0.3333333333333333,2
0.6000000000000002,0.0,0.0,0.0,0.0,0
0.6500000000000001,0.0,0.0,0.0,0.0,0
0.7000000000000002,0.0,0.0,0.0,0.0,0
