threshold,precision,recall,f1,f2
0.2,0.4037433155080214,1.0,0.5752380952380952,0.7719836400817995
0.21,0.40482573726541554,1.0,0.5763358778625954,0.7727737973387923
0.22,0.40482573726541554,1.0,0.5763358778625954,0.7727737973387923
0.23,0.4081081081081081,1.0,0.5796545105566219,0.7751540041067762
0.24,0.4076086956521739,0.9933774834437086,0.5780346820809249,0.7716049382716049
0.25,0.410958904109589,0.9933774834437086,0.5813953488372093,0.7739938080495357
0.26,0.4155124653739612,0.9933774834437086,0.5859375,0.7772020725388601
0.27,0.4166666666666667,0.9933774834437086,0.5870841487279843,0.7780082987551867
0.28,0.4180790960451977,0.9801324503311258,0.5861386138613861,0.7724425887265136
0.29,0.41761363636363635,0.9735099337748344,0.584493041749503,0.7688284518828452
0.3,0.4183381088825215,0.9668874172185431,0.584,0.7660020986358866
0.31,0.4190751445086705,0.9602649006622517,0.5835010060362174,0.7631578947368421
0.32,0.42028985507246375,0.9602649006622517,0.5846774193548387,0.7639620653319283
0.33,0.4247787610619469,0.9536423841059603,0.5877551020408164,0.7635206786850477
0.34,0.43243243243243246,0.9536423841059603,0.5950413223140496,0.768409818569904
0.35,0.44,0.9470198675496688,0.6008403361344538,0.7696447793326158
0.36,0.440625,0.9337748344370861,0.5987261146496815,0.762987012987013
0.37,0.44516129032258067,0.9139072847682119,0.5986984815618221,0.7549234135667396
0.38,0.44966442953020136,0.8874172185430463,0.5968819599109132,0.7427937915742794
0.39,0.4652777777777778,0.8874172185430463,0.6104783599088838,0.7511210762331838
0.4,0.4731182795698925,0.8741721854304636,0.6139534883720931,0.7474518686296716
0.41,0.48148148148148145,0.8609271523178808,0.6175771971496437,0.7437070938215103
0.42,0.4847328244274809,0.8410596026490066,0.6150121065375302,0.733256351039261
0.43,0.4921259842519685,0.8278145695364238,0.6172839506172839,0.7284382284382285
0.44,0.491869918699187,0.8013245033112583,0.6095717884130982,0.711764705882353
0.45,0.49159663865546216,0.7748344370860927,0.6015424164524421,0.6947743467933492
0.46,0.4977973568281938,0.7483443708609272,0.5978835978835979,0.6799037304452467
0.47,0.5,0.7086092715231788,0.5863013698630137,0.6540342298288508
0.48,0.5174129353233831,0.6887417218543046,0.5909090909090909,0.6459627329192547
0.49,0.5340314136125655,0.6754966887417219,0.5964912280701754,0.6415094339622641
0.5,0.5254237288135594,0.6158940397350994,0.5670731707317073,0.5953905249679897
0.51,0.5301204819277109,0.5827814569536424,0.555205047318612,0.5714285714285714
0.52,0.535031847133758,0.5562913907284768,0.5454545454545454,0.5519053876478318
0.53,0.5448275862068965,0.5231788079470199,0.5337837837837838,0.527369826435247
0.54,0.5579710144927537,0.5099337748344371,0.532871972318339,0.5188679245283019
0.55,0.5625,0.4768211920529801,0.5161290322580645,0.4918032786885246
0.56,0.5609756097560976,0.45695364238410596,0.5036496350364964,0.47455295735900965
0.57,0.5603448275862069,0.4304635761589404,0.4868913857677903,0.4513888888888889
0.58,0.5648148148148148,0.40397350993377484,0.47104247104247104,0.42837078651685395
0.59,0.5670103092783505,0.36423841059602646,0.4435483870967742,0.39229671897289586
0.6,0.5730337078651685,0.33774834437086093,0.425,0.36796536796536794
0.61,0.6049382716049383,0.32450331125827814,0.4224137931034483,0.35766423357664234
0.62,0.6133333333333333,0.304635761589404,0.40707964601769914,0.3387334315169367
0.63,0.6142857142857143,0.2847682119205298,0.3891402714932127,0.3189910979228487
0.64,0.625,0.26490066225165565,0.37209302325581395,0.2994011976047904
0.65,0.6379310344827587,0.24503311258278146,0.35406698564593303,0.2794561933534743
0.66,0.6428571428571429,0.23841059602649006,0.34782608695652173,0.2727272727272727
0.67,0.66,0.2185430463576159,0.3283582089552239,0.25229357798165136
0.68,0.627906976744186,0.17880794701986755,0.27835051546391754,0.20865533230293662
0.69,0.6944444444444444,0.16556291390728478,0.26737967914438504,0.1953125
0.7,0.7241379310344828,0.1390728476821192,0.23333333333333334,0.16587677725118483
0.71,0.6923076923076923,0.11920529801324503,0.2033898305084746,0.14285714285714285
0.72,0.7368421052631579,0.09271523178807947,0.16470588235294117,0.11235955056179775
0.73,0.75,0.07947019867549669,0.1437125748502994,0.0967741935483871
0.74,0.75,0.059602649006622516,0.11042944785276074,0.07305194805194805
0.75,0.7777777777777778,0.046357615894039736,0.0875,0.057096247960848286
0.76,0.75,0.039735099337748346,0.07547169811320754,0.049019607843137254
0.77,0.6666666666666666,0.026490066225165563,0.050955414012738856,0.03278688524590164
0.78,0.6,0.019867549668874173,0.038461538461538464,0.024630541871921183
0.79,0.6,0.019867549668874173,0.038461538461538464,0.024630541871921183
0.8,0.6,0.019867549668874173,0.038461538461538464,0.024630541871921183
0.81,0.6,0.019867549668874173,0.038461538461538464,0.024630541871921183
