project_type,projects,actual_delay_rate,predicted_flag_rate,avg_probability
Airport,339,0.49262536873156343,0.9911504424778761,0.5684358202537604
Railway,277,0.47653429602888087,0.9963898916967509,0.5623474095925932
Industrial Corridor,313,0.4440894568690096,0.9968051118210862,0.5389974677625544
Irrigation Canal/Dam,294,0.4421768707482993,0.9931972789115646,0.5322178852775509
Highway/Road,315,0.3682539682539683,0.9936507936507937,0.5040978775861682
Power Transmission,311,0.33440514469453375,0.8810289389067524,0.391297543123694
Urban Infrastructure,324,0.3333333333333333,0.9259259259259259,0.437181555871298
Water Supply,327,0.3333333333333333,0.926605504587156,0.4287693882584145
